feature,metric,spearman_rho,p_value,n,abs_rho
tumor_to_ring_max_enh_diff,v2_kinetic_cc_dice,0.2298073117676741,9.847682902780972e-08,526,0.2298073117676741
tumor_to_ring_auc_norm_diff,v2_kinetic_cc_dice,0.21249077353344362,8.739269118675062e-07,526,0.21249077353344362
tumor_to_fg_max_enh_diff,v2_kinetic_cc_dice,0.20497604939406056,2.1340030427663573e-06,526,0.20497604939406056
gt_late_slope,v2_kinetic_cc_dice,-0.17684594050318872,0.002832010347451459,283,0.17684594050318872
gt_max_enh,v2_kinetic_cc_dice,0.12933754719830484,0.0029610694976400934,526,0.12933754719830484
fg_max_enh,v2_kinetic_cc_dice,-0.12345929397687835,0.0045736853958327555,526,0.12345929397687835
fg_auc_enh_norm,v2_kinetic_cc_dice,-0.12304075921525263,0.004714311438093222,526,0.12304075921525263
gt_auc_enh_norm,v2_kinetic_cc_dice,0.10550707794609268,0.015487445173156254,526,0.10550707794609268
ring_auc_enh_norm,v2_kinetic_cc_dice,-0.10443675404977608,0.01657139409563222,526,0.10443675404977608
ring_max_enh,v2_kinetic_cc_dice,-0.0921019945798125,0.03470397573278437,526,0.0921019945798125
gt_washout_index,v2_kinetic_cc_dice,0.05780970171991897,0.18556926668326224,526,0.05780970171991897
first_post_s,v2_kinetic_cc_dice,0.05206554060939073,0.23323189507147193,526,0.05206554060939073
early_dev_s,v2_kinetic_cc_dice,0.0519272415030831,0.23447739798264544,526,0.0519272415030831
gt_observed_uptake_rate,v2_kinetic_cc_dice,0.04499244187102676,0.3030313926170341,526,0.04499244187102676
late_dev_s,v2_kinetic_cc_dice,0.04226176203781063,0.33335072944450816,526,0.04226176203781063
last_post_s,v2_kinetic_cc_dice,0.016463413433340377,0.7063887348432181,526,0.016463413433340377
acquisition_time_span_s,v2_kinetic_cc_dice,0.016463413433340377,0.7063887348432181,526,0.016463413433340377
tumor_to_fg_max_enh_diff,v2_lcc_dice,-0.057327540422007925,0.1892701659714985,526,0.057327540422007925
tumor_to_ring_max_enh_diff,v2_lcc_dice,-0.05432151228320746,0.21357258030960757,526,0.05432151228320746
gt_max_enh,v2_lcc_dice,-0.05082985242492547,0.24452700991379758,526,0.05082985242492547
gt_washout_index,v2_lcc_dice,0.047893253250715,0.2728893263279839,526,0.047893253250715
ring_auc_enh_norm,v2_lcc_dice,-0.04394463345359938,0.31444211231238267,526,0.04394463345359938
ring_max_enh,v2_lcc_dice,-0.03557171833226837,0.4155629581146434,526,0.03557171833226837
gt_late_slope,v2_lcc_dice,0.027197328259727864,0.6486854406717746,283,0.027197328259727864
first_post_s,v2_lcc_dice,-0.02647985810772959,0.5445354751235534,526,0.02647985810772959
late_dev_s,v2_lcc_dice,-0.02647900545925519,0.5445484368700402,526,0.02647900545925519
last_post_s,v2_lcc_dice,-0.026424956286447605,0.5453703905682903,526,0.026424956286447605
acquisition_time_span_s,v2_lcc_dice,-0.026424956286447605,0.5453703905682903,526,0.026424956286447605
early_dev_s,v2_lcc_dice,-0.026278615645320108,0.5475989450917405,526,0.026278615645320108
gt_auc_enh_norm,v2_lcc_dice,-0.02617089237194639,0.5492422777792875,526,0.02617089237194639
gt_observed_uptake_rate,v2_lcc_dice,0.01777774603631969,0.6841627850788286,526,0.01777774603631969
tumor_to_ring_auc_norm_diff,v2_lcc_dice,-0.0121736996764127,0.7805931634860079,526,0.0121736996764127
fg_auc_enh_norm,v2_lcc_dice,0.005877580634823247,0.8930222687940245,526,0.005877580634823247
fg_max_enh,v2_lcc_dice,0.001496407958609806,0.972687345379547,526,0.001496407958609806
tumor_to_fg_max_enh_diff,v2_lcc_precision,-0.22544851833729318,1.7348284965037506e-07,526,0.22544851833729318
gt_max_enh,v2_lcc_precision,-0.2088490134486392,1.3525244100173426e-06,526,0.2088490134486392
gt_auc_enh_norm,v2_lcc_precision,-0.20037518998498435,3.6273774829502427e-06,526,0.20037518998498435
ring_max_enh,v2_lcc_precision,-0.18402250591073785,2.168652675320537e-05,526,0.18402250591073785
ring_auc_enh_norm,v2_lcc_precision,-0.16897634539806866,9.850791344081378e-05,526,0.16897634539806866
gt_observed_uptake_rate,v2_lcc_precision,-0.12446379285745447,0.0042515091381908,526,0.12446379285745447
tumor_to_ring_auc_norm_diff,v2_lcc_precision,-0.11467089422172046,0.00847907072071,526,0.11467089422172046
tumor_to_ring_max_enh_diff,v2_lcc_precision,-0.0915370374210971,0.03583567783038092,526,0.0915370374210971
first_post_s,v2_lcc_precision,-0.06104835021492677,0.16208354662380786,526,0.06104835021492677
early_dev_s,v2_lcc_precision,-0.060976011931352415,0.16258246837025897,526,0.060976011931352415
late_dev_s,v2_lcc_precision,-0.0597484756348779,0.17122590063212886,526,0.0597484756348779
gt_washout_index,v2_lcc_precision,-0.0520384960393817,0.23347508609220244,526,0.0520384960393817
fg_auc_enh_norm,v2_lcc_precision,0.027023989004145602,0.5362950465040537,526,0.027023989004145602
last_post_s,v2_lcc_precision,-0.01952673405123747,0.6550073617665156,526,0.01952673405123747
acquisition_time_span_s,v2_lcc_precision,-0.01952673405123747,0.6550073617665156,526,0.01952673405123747
fg_max_enh,v2_lcc_precision,0.015600454496178709,0.7211201689247715,526,0.015600454496178709
gt_late_slope,v2_lcc_precision,-0.010851654905917446,0.8557785564210907,283,0.010851654905917446
ring_max_enh,v2_lcc_recall,0.11816808669778942,0.006663428034782122,526,0.11816808669778942
gt_auc_enh_norm,v2_lcc_recall,0.10258063798222936,0.01860917037347728,526,0.10258063798222936
tumor_to_fg_max_enh_diff,v2_lcc_recall,0.09839385011602433,0.0240241821297165,526,0.09839385011602433
gt_observed_uptake_rate,v2_lcc_recall,0.09169384997598495,0.03551845312547407,526,0.09169384997598495
ring_auc_enh_norm,v2_lcc_recall,0.08859236353626276,0.042255044542115025,526,0.08859236353626276
gt_max_enh,v2_lcc_recall,0.07826230551688186,0.07290850197885794,526,0.07826230551688186
gt_late_slope,v2_lcc_recall,0.06681390830502891,0.2626023704469401,283,0.06681390830502891
gt_washout_index,v2_lcc_recall,0.059816784076168354,0.1707360817749823,526,0.059816784076168354
tumor_to_ring_max_enh_diff,v2_lcc_recall,-0.05140813484824277,0.23919428739960552,526,0.05140813484824277
late_dev_s,v2_lcc_recall,0.043072822193846144,0.32414817927752515,526,0.043072822193846144
fg_auc_enh_norm,v2_lcc_recall,-0.041886417060455906,0.3376658627208914,526,0.041886417060455906
fg_max_enh,v2_lcc_recall,-0.0320408346911682,0.46338360155237235,526,0.0320408346911682
early_dev_s,v2_lcc_recall,0.02685220208105924,0.5388898488077325,526,0.02685220208105924
first_post_s,v2_lcc_recall,0.02667350339880478,0.5415956942689604,526,0.02667350339880478
tumor_to_ring_auc_norm_diff,v2_lcc_recall,0.016947688215502108,0.698169136250413,526,0.016947688215502108
last_post_s,v2_lcc_recall,-0.013617581944919853,0.7553548252484253,526,0.013617581944919853
acquisition_time_span_s,v2_lcc_recall,-0.013617581944919853,0.7553548252484253,526,0.013617581944919853
first_post_s,v2_raw_dice,-0.04299389039524614,0.32503644901734907,526,0.04299389039524614
early_dev_s,v2_raw_dice,-0.042825180516000275,0.32694033892233865,526,0.042825180516000275
tumor_to_fg_max_enh_diff,v2_raw_dice,-0.04011314726823505,0.35853327126130374,526,0.04011314726823505
ring_auc_enh_norm,v2_raw_dice,-0.04010102611358371,0.35867863696137237,526,0.04010102611358371
last_post_s,v2_raw_dice,-0.04009411155267468,0.3587615779537485,526,0.04009411155267468
acquisition_time_span_s,v2_raw_dice,-0.04009411155267468,0.3587615779537485,526,0.04009411155267468
gt_max_enh,v2_raw_dice,-0.03231363776269039,0.45958323013129443,526,0.03231363776269039
gt_observed_uptake_rate,v2_raw_dice,0.03128630806336403,0.473985166797933,526,0.03128630806336403
ring_max_enh,v2_raw_dice,-0.030575859978493984,0.48408769695109655,526,0.030575859978493984
late_dev_s,v2_raw_dice,-0.02714038777142997,0.5345404401847625,526,0.02714038777142997
gt_washout_index,v2_raw_dice,0.022451824234180004,0.6074160433883875,526,0.022451824234180004
tumor_to_ring_max_enh_diff,v2_raw_dice,-0.0200005236009594,0.647196504897974,526,0.0200005236009594
gt_late_slope,v2_raw_dice,0.013854788652807808,0.8164967059701808,283,0.013854788652807808
tumor_to_ring_auc_norm_diff,v2_raw_dice,0.013560892207726343,0.7563410338413264,526,0.013560892207726343
gt_auc_enh_norm,v2_raw_dice,-0.013484537179106373,0.7576699770807745,526,0.013484537179106373
fg_auc_enh_norm,v2_raw_dice,0.00807602849958037,0.8533987904137466,526,0.00807602849958037
fg_max_enh,v2_raw_dice,0.0010493044456840494,0.9808460470301811,526,0.0010493044456840494
