cohort,primary_failure_type,n,v2_lcc_dice_mean,v2_lcc_dice_median,v2_lcc_precision_mean,v2_lcc_precision_median,v2_lcc_recall_mean,v2_lcc_recall_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_median
DUKE,good_segmentation,147,0.80933810601799,0.8054466680420879,0.8145256495930611,0.8218667190106979,0.8256063660448789,0.8525350479603668,1.0428129755037243,1.0338883379839956
DUKE,low_volume_undersegmentation,31,0.37458963943928986,0.4463400576368876,0.7339000493840705,0.9192825112107624,0.26169926017514267,0.2997618464688731,0.31234656047688353,0.3250053174953778
DUKE,mixed_or_boundary_error,31,0.6460703700915021,0.6644783029429064,0.7180395938436321,0.689102585566099,0.6339092836878713,0.579570516540917,0.9681237524998382,1.0020200245916038
DUKE,oversegmentation,8,0.5539113534618225,0.5556904791992563,0.44348085315311736,0.4503521712639761,0.7471991168461145,0.767835336067503,1.6994368927541335,1.721404392182941
DUKE,severe_miss_or_undersegmentation,9,0.0,0.0,0.0,0.0,0.0,0.0,2.313064291044709,1.8661907481439175
DUKE,small_lesion_failure,30,0.11196331250535348,0.0,0.10956955943038275,0.0,0.1224280551706533,0.0,6.66728876406726,3.7503309652349315
DUKE,undersegmentation,6,0.5537825878151411,0.5679547420381921,0.7807162238262384,0.8098190060589614,0.4298738806675182,0.4374490310330341,0.5593271081039851,0.5452129570310682
DUKE,volume_inflation_oversegmentation,29,0.36904691372091636,0.3879457001006839,0.24818335707414277,0.2606539163558448,0.8725538095126343,0.9021475859841755,7.72291520056909,3.126207126207126
ISPY1,good_segmentation,72,0.7966282239321362,0.791120487861491,0.7915952928956885,0.807365771009235,0.8185742269773093,0.8159574225291317,1.0562115057379287,1.0596760420051117
ISPY1,low_volume_undersegmentation,14,0.2702408961366639,0.31080027853120246,0.6824920048787585,0.7518230135273603,0.17551986115495466,0.1916125878912172,0.2670989269363465,0.26169702305299913
ISPY1,mixed_or_boundary_error,19,0.6099105508078663,0.6439404648908456,0.6404461821544507,0.6618504435994931,0.6060763543004793,0.5978932905885047,1.0158181188850854,0.9221548881561358
ISPY1,oversegmentation,6,0.5571491877897469,0.5719570613020726,0.4478753042023744,0.4742203517871813,0.7411177092850966,0.729376457076421,1.6553310399965284,1.6377635465162887
ISPY1,severe_miss_or_undersegmentation,20,0.0,0.0,0.0,0.0,0.0,0.0,2.7217654331852925,1.8195257278699841
ISPY1,small_lesion_failure,13,0.2746229639158754,0.0,0.26036902469425455,0.0,0.3259620372382973,0.0,2.416812551466912,1.9841628959276016
ISPY1,undersegmentation,6,0.5483048111139867,0.5550359273391854,0.7435707759174167,0.7300869839747434,0.43587349283836246,0.4358140321426348,0.5891977351362179,0.5704641698849456
ISPY1,volume_inflation_oversegmentation,21,0.3964770765960713,0.4634745242480049,0.27505349638842846,0.3134080531340805,0.8989701151461431,0.8957112002468374,10.991827086562349,2.8374558303886928
NACT,good_segmentation,33,0.817602287935906,0.8351093662366798,0.8071231909904053,0.8310866013071896,0.855642489271424,0.903691326143096,1.1008254453964863,1.0508836764964675
NACT,low_volume_undersegmentation,5,0.27188867150143115,0.2955271838520569,0.6387921679733392,0.7408311910882605,0.1770905279741272,0.1845790900745105,0.28916902134332434,0.2491513482354448
NACT,mixed_or_boundary_error,3,0.6739856164318966,0.6788194444444444,0.6830908877774432,0.6124627217077382,0.710929154454862,0.6937711136134653,1.1070181808193709,1.1327564748414627
NACT,oversegmentation,2,0.6382860349679973,0.6382860349679973,0.4886865371568495,0.4886865371568495,0.9202041809029161,0.9202041809029161,1.8835942114059563,1.8835942114059563
NACT,severe_miss_or_undersegmentation,5,0.042928992482829484,0.0,0.0411124922311995,0.0,0.04491343216023536,0.0,1.8022967407737542,1.7892720306513408
NACT,small_lesion_failure,6,0.3924710427593565,0.5025996004894615,0.3270149165780485,0.44459328132797515,0.5064947686511707,0.6100601379443571,1.8645326056837763,1.7432348648513345
NACT,volume_inflation_oversegmentation,10,0.3931559059382185,0.4374511554882691,0.2601764443819433,0.2881421347823012,0.9116579077210293,0.9157215520943627,4.868659959462827,3.1569581659862544
