overall,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
acceptable,v1_raw,213,0.5264729884319111,0.22957747180901705,0.5581757508342603,0.3889033174670859,0.20652165527498167,0.3871316154914365,0.48916685391832215,0.2568315543773445,0.5072313154932017,0.7301088669006193,0.23733755747212257,0.8062925482980681,31.744540369372157,44.74968396780033,16.302396898340394,25.008160027442496,52.7305807034952,7.687228000944466,4.300556301903122,14.646400916044234,1.505438401775805,0.7678272187551417,0.19860225353661337,0.8322304035790847
acceptable,v1_lcc,213,0.548504699724822,0.2980476251034436,0.6631554737810488,0.43045829751427056,0.2605438455226653,0.4960602828338437,0.5620839340364245,0.3196440625400953,0.6618504435994931,0.6357898441496818,0.3269477117285072,0.7583914921900964,24.37515976930941,32.45051739452595,12.116312438145664,25.008160027442496,52.7305807034952,7.687228000944466,2.849510895039099,8.885652946136615,1.1595118712365773,,,
acceptable,v2_raw,213,0.54046542229456,0.22991630918994901,0.5676481012325908,0.4027423470274311,0.2096372528414409,0.3963049176121263,0.513105610729672,0.2620737335065717,0.5466647673560301,0.7242706943887385,0.23318522188669805,0.8,29.620667897341864,40.06635368443625,15.20263671875,25.008160027442496,52.7305807034952,7.687228000944466,3.773222670611726,11.997051473626836,1.413895486935867,0.7781803298658204,0.19807153655834417,0.851221317542561
acceptable,v2_lcc,213,0.5576394048182162,0.2998230377054629,0.6687761042905961,0.4405686697740259,0.26421179824650104,0.5023768777334094,0.5842656130447038,0.32627772645698694,0.689102585566099,0.6242496257548686,0.3281980701344372,0.7407601572739188,23.27183945838612,30.78021844135879,11.163330078125,25.008160027442496,52.7305807034952,7.687228000944466,2.550311913418965,7.65286307218781,1.1359959809093192,,,
acceptable,v1_small50,213,0.5364011275179671,0.231454940647142,0.5673880918086758,0.3991176336358592,0.21002145376934717,0.3960514976627582,0.506028751201615,0.26108162844053245,0.5321047900346731,0.7280352102583867,0.23881015870722724,0.8035326586936522,30.74666985317287,43.93120680241455,15.329940795898438,25.008160027442496,52.7305807034952,7.687228000944466,4.141195435226233,14.421185049213799,1.4366259711431746,,,
acceptable,v1_small100,213,0.5397969227155222,0.23238405947860782,0.5701238655174382,0.40273589865096643,0.21154069273746906,0.3987225548902195,0.5116163589517407,0.26274919255647444,0.5430187279807157,0.7274987434214198,0.23912778423097744,0.8029921087242438,30.475239018819384,43.73137297132682,15.055268187767023,25.008160027442496,52.7305807034952,7.687228000944466,4.095647684077816,14.354687005876556,1.4061757719714965,,,
acceptable,v2_small50,213,0.5501099402625957,0.2313578122151403,0.5787106446776612,0.41275416363910417,0.21275269722209586,0.4071729957805907,0.5302576244932874,0.265826242803264,0.5614464490150408,0.7219078453277201,0.234808382550148,0.7904352498656636,28.661335450202447,39.25750331861771,14.582531120395288,25.008160027442496,52.7305807034952,7.687228000944466,3.6232170101062193,11.784746697077091,1.357584826303231,,,
acceptable,v2_small100,213,0.55300910120499,0.23185817495465466,0.5875683336707835,0.4158072623694477,0.2137202803891572,0.4159977064220183,0.5352196574438092,0.26690068926803356,0.570075015205785,0.7212496114770448,0.23514173986644865,0.7904352498656636,28.409784920406203,39.064748656318656,14.582531120395288,25.008160027442496,52.7305807034952,7.687228000944466,3.582499298744642,11.73244058807909,1.350648025308705,,,
acceptable,kin_v1_raw,213,0.5264729884319111,0.22957747180901705,0.5581757508342603,,,,0.48916685391832215,0.2568315543773445,0.5072313154932017,0.7301088669006193,0.23733755747212257,0.8062925482980681,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,kin_v1_lcc,213,0.548504699724822,0.2980476251034436,0.6631554737810488,,,,0.5620839340364245,0.3196440625400953,0.6618504435994931,0.6357898441496818,0.3269477117285072,0.7583914921900964,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,kin_v2_raw,213,0.54046542229456,0.22991630918994901,0.5676481012325908,,,,0.513105610729672,0.2620737335065717,0.5466647673560301,0.7242706943887385,0.23318522188669805,0.8,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,kin_v2_lcc,213,0.5576394048182162,0.2998230377054629,0.6687761042905961,,,,0.5842656130447038,0.32627772645698694,0.689102585566099,0.6242496257548686,0.3281980701344372,0.7407601572739188,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,kin_v2_kinetic_cc,213,0.24564641350329314,0.3404426238360892,0.0,,,,0.3081524016601623,0.3804064207730654,0.0,0.2641439912432517,0.3697739581075883,0.0,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,kin_delta_v2_lcc_minus_raw,213,0.017173982523656248,0.14494126829823833,0.0182448179616838,,,,,,,,,,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,kin_delta_kineticcc_minus_lcc,213,-0.31199299131492314,0.3841777563694501,-0.0258676376128843,,,,,,,,,,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,v1_raw_error_1_minus,213,0.4735270115680888,0.22957747180901705,0.4418242491657397,,,,,,,,,,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,v1_lcc_error_1_minus,213,0.451495300275178,0.2980476251034436,0.3368445262189512,,,,,,,,,,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,v1_small50_error_1_minus,213,0.4635988724820329,0.231454940647142,0.4326119081913242,,,,,,,,,,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,v1_small100_error_1_minus,213,0.46020307728447785,0.2323840594786078,0.4298761344825618,,,,,,,,,,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,v2_raw_error_1_minus,213,0.45953457770544004,0.22991630918994901,0.4323518987674092,,,,,,,,,,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,v2_lcc_error_1_minus,213,0.4423605951817837,0.299823037705463,0.3312238957094039,,,,,,,,,,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,v2_small50_error_1_minus,213,0.4498900597374042,0.2313578122151403,0.4212893553223388,,,,,,,,,,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
acceptable,v2_small100_error_1_minus,213,0.44699089879501,0.2318581749546547,0.4124316663292164,,,,,,,,,,,,,25.008160027442496,52.7305807034952,7.687228000944466,,,,,,
good,v1_raw,154,0.5710124225669558,0.24408540304254722,0.641341230503168,0.4375272911585065,0.2264567050175811,0.4720409813007702,0.5500410611945308,0.2864280026022407,0.6128099869746803,0.7485011866426964,0.2178512436025464,0.8235078089231544,36.18898132174189,52.725053708752284,16.258306141319004,25.984280392566692,52.504098497575704,10.122149232407725,3.384346227915758,7.714881335866368,1.317880115397707,0.8014550605740576,0.18085462063040642,0.8627268452701268
good,v1_lcc,154,0.5947758005427654,0.2917959164606885,0.7015119906643259,0.47616527111264123,0.2601316135148621,0.5402547230898336,0.623419139961479,0.3240133804977318,0.7365321503814112,0.6505738632600069,0.31537879992877194,0.7857512818845129,28.90079671019593,44.4013413147408,12.831110958641808,25.984280392566692,52.504098497575704,10.122149232407725,2.2336546730492275,4.169257180881707,1.1092673569268707,,,
good,v2_raw,154,0.5737506608160057,0.24451418173227718,0.6430576270067607,0.44048366236090764,0.22719397087150647,0.47390195136369934,0.556615823363377,0.2880021480216349,0.6213777936804071,0.7453614819482564,0.2182768313206829,0.8200525745986147,35.983735859943394,53.17154020513548,15.944598756058028,25.984280392566692,52.504098497575704,10.122149232407725,3.2843967350020318,7.193764999810885,1.2955910130493815,0.8053590087605731,0.1801943875505005,0.8685254833040331
good,v2_lcc,154,0.595972432768518,0.2922654963813832,0.7015119906643259,0.4776580181154224,0.2608783228097872,0.5402547230898336,0.6293461831494801,0.3261377304441368,0.7416843774898851,0.6474758841920027,0.3149270249157017,0.7853711594524674,28.897779154494394,44.8613795340015,12.796765923586392,25.984280392566692,52.504098497575704,10.122149232407725,2.218113029202337,4.0928066969784265,1.0935760770806007,,,
good,v1_small50,154,0.5787658769104433,0.24486487370514765,0.6473615818925416,0.44587298860435864,0.22878817230636744,0.478593342040895,0.5644755372362483,0.2890155557757387,0.6376022682938846,0.7464612220248129,0.2194301258735676,0.8232775660950767,35.22008144787711,51.60039355303415,15.58100475950032,25.984280392566692,52.504098497575704,10.122149232407725,3.2621262276778786,7.457392557455515,1.2502596767608376,,,
good,v1_small100,154,0.5815738096360149,0.24521731000580646,0.650321679149442,0.4489332332989157,0.22964808992303193,0.48183505748436095,0.5694312437905449,0.2900529356796864,0.6455880976677867,0.745695159027351,0.21988679344244508,0.8232775660950767,34.932199568957465,51.37661689659456,15.336042998147379,25.984280392566692,52.504098497575704,10.122149232407725,3.2234372044835395,7.388439890262552,1.2419129494476018,,,
good,v2_small50,154,0.5814010119750425,0.24533687199834175,0.6493839434810533,0.4487814069254065,0.22962676783291722,0.4808060101208975,0.5713119569010916,0.290790101864679,0.6446296539666488,0.7432659779235343,0.21986110528900457,0.8176793039963401,35.0219904637283,52.04342115463239,15.480806522595094,25.984280392566692,52.504098497575704,10.122149232407725,3.1664018728058307,6.959179963499251,1.2399269556855428,,,
good,v2_small100,154,0.5841423979519734,0.2456250665002726,0.6537735394322153,0.4517673883211263,0.23044805519170397,0.4856359489051094,0.5765072930619486,0.2918312567619665,0.6567065154107465,0.7423447102835581,0.2204954963602436,0.8173213941896114,34.73463813701698,51.81870267215942,15.096774521310596,25.984280392566692,52.504098497575704,10.122149232407725,3.1284761272476516,6.900734782193657,1.2360673451334212,,,
good,kin_v1_raw,154,0.5710124225669558,0.24408540304254722,0.641341230503168,,,,0.5500410611945308,0.2864280026022407,0.6128099869746803,0.7485011866426964,0.2178512436025464,0.8235078089231544,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,kin_v1_lcc,154,0.5947758005427654,0.2917959164606885,0.7015119906643259,,,,0.623419139961479,0.3240133804977318,0.7365321503814112,0.6505738632600069,0.31537879992877194,0.7857512818845129,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,kin_v2_raw,154,0.5737506608160057,0.24451418173227718,0.6430576270067607,,,,0.556615823363377,0.2880021480216349,0.6213777936804071,0.7453614819482564,0.2182768313206829,0.8200525745986147,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,kin_v2_lcc,154,0.595972432768518,0.2922654963813832,0.7015119906643259,,,,0.6293461831494801,0.3261377304441368,0.7416843774898851,0.6474758841920027,0.3149270249157017,0.7853711594524674,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,kin_v2_kinetic_cc,154,0.2601283044238616,0.3605800720374681,0.0,,,,0.3060259005923998,0.389157836168488,0.0,0.27667986577705367,0.3866753823317527,0.0,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,kin_delta_v2_lcc_minus_raw,154,0.022221771952512313,0.11913181814177626,0.0185108195175605,,,,,,,,,,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,kin_delta_kineticcc_minus_lcc,154,-0.3358441283446564,0.3772746417628363,-0.1610089159698048,,,,,,,,,,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,v1_raw_error_1_minus,154,0.4289875774330442,0.24408540304254722,0.35865876949683195,,,,,,,,,,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
