split,method,n_cases,n_rows,dice_mean,dice_median,dice_std,iou_mean,iou_median,iou_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,pred_vol_cm3_mean,pred_vol_cm3_median,pred_vol_cm3_std,gt_vol_cm3_mean,gt_vol_cm3_median,gt_vol_cm3_std,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_median,pred_to_gt_vol_ratio_std,n_components_mean,n_components_median,n_components_std,largest_component_fraction_mean,largest_component_fraction_median,largest_component_fraction_std,dice_ci95_low,dice_ci95_high,family
dev,v1_lcc,159,159,0.5876055302998433,0.7009968086363816,0.2813260819662865,0.4651046481146086,0.5396420988777677,0.2512626173950812,0.6037265579071331,0.7094635615240779,0.3140505851351163,0.660533873861263,0.7662735849056603,0.3016845917043707,28.998338500454167,13.492779776110348,39.16966282405757,27.846511393517343,11.200298614802886,43.306310802881,1.7289242427329687,1.1393491344082023,2.3686988178104778,1.0,1.0,0.0,1.0,1.0,0.0,0.5465650003611529,0.6333273547054163,lcc
dev,v1_raw,159,159,0.5546450335831139,0.6106967148071735,0.2257176057791524,0.4153585345778191,0.4395704820653415,0.2059892508936051,0.5235084014883437,0.554838361195884,0.2683937024792413,0.7350442393769848,0.8089674771076729,0.2262480401989796,34.61911879005182,18.239375395327805,43.98070730014798,27.846511393517343,11.200298614802886,43.306310802881,2.349299774382916,1.341172945846753,3.169613642993062,133.0691823899371,86.0,163.77644223637833,0.8025269234223299,0.8567724410421039,0.1834965984528311,0.5204021949389322,0.5903410551799971,baseline_raw
dev,v1v2_intersection,159,159,0.5630650593770928,0.6279037800687285,0.2225577825420452,0.4229215940985381,0.4576237227008615,0.2041499398301438,0.5428274295005624,0.5889826315008164,0.2658208146180035,0.7243948888136861,0.797881010594947,0.2272117930650734,33.14397319446604,16.28491410217282,41.70259959925825,27.846511393517343,11.200298614802886,43.306310802881,2.1814246855468347,1.3284101277372264,2.969151545922949,126.72955974842768,85.0,149.76241460911277,0.8049673466942504,0.8637757336837495,0.1825412074945235,0.5289009113550379,0.5972521837897818,v1_v2_intersection
dev,v1v2_intersection_lcc,159,159,0.5953687439510518,0.7123674535088187,0.2784771320808332,0.4723328882302644,0.5532381543554727,0.2494170932632252,0.6241908054764879,0.7234509230488028,0.308724598235535,0.6539616291430866,0.7611132586006958,0.301436758405775,28.1375535732609,13.19814685089511,38.5726181691745,27.846511393517343,11.200298614802886,43.306310802881,1.6107077453825025,1.1049432215008148,2.2457238147296947,1.0,1.0,0.0,1.0,1.0,0.0,0.5524723055457227,0.6400055885555415,lcc
dev,v1v2_union_lcc,159,159,0.5927743283742093,0.7097714174706987,0.2779898282108749,0.4694910988951256,0.5501129234629862,0.2491669718549819,0.6069373341708327,0.7094463331714425,0.3103644287763585,0.6684495153931002,0.7813144034806503,0.2981502240064356,29.222679313395084,13.752641054467128,39.19456557262077,27.846511393517343,11.200298614802886,43.306310802881,1.7531676159491123,1.1423076923076922,2.377329053668632,1.0,1.0,0.0,1.0,1.0,0.0,0.5521846410476414,0.6376313462885578,lcc
dev,v2_cond_lcc_largestfrac_le_0p5,159,159,0.5768654813690209,0.6563995048566427,0.2349904435866506,0.440019588581918,0.4885377068773758,0.2140573007403969,0.5595165819209983,0.6223581326933498,0.2709755421419443,0.711960733309049,0.7940833576216847,0.2482086549936028,32.38953099886009,15.911336080669674,41.95186127275272,27.846511393517343,11.200298614802886,43.306310802881,2.010994661930332,1.276013143483023,2.790733450714638,114.96855345911948,77.0,147.56322058069702,0.8526645679209791,0.904175742401575,0.1481860808509376,0.5404281123916916,0.6134275306732853,lcc
dev,v2_cond_lcc_largestfrac_le_0p6,159,159,0.5751638093550797,0.6620192013697792,0.2523787584192954,0.4429529661850496,0.4947897623400366,0.2262903789303943,0.5683180098926623,0.646460262345679,0.2834123470900884,0.690534479596309,0.7904352498656636,0.2742516486027317,31.507838102306195,15.20263671875,42.05573454454453,27.846511393517343,11.200298614802886,43.306310802881,1.8821787226320417,1.2228459091026669,2.6990700286057603,102.13207547169812,63.0,146.58622179573595,0.8992864523661293,0.9396065922381712,0.1086762711204782,0.5368766878207204,0.6144663608926544,lcc
dev,v2_cond_lcc_largestfrac_le_0p7,159,159,0.5797150493525901,0.6660465506630112,0.2628458806169582,0.4506775253876877,0.4993026938039364,0.2344599563412082,0.5809847981712555,0.6621517359622803,0.2919557485060672,0.6751842283531211,0.7713357559740117,0.2893797034042252,30.73902762893766,14.710353650177526,41.91602455106781,27.846511393517343,11.200298614802886,43.306310802881,1.794904215803627,1.1769041769041768,2.581804884287291,84.937106918239,47.0,136.28575180849788,0.9274275927677216,0.9661551397939878,0.0830412797572287,0.5389788089938263,0.618626296089334,lcc
dev,v2_cond_lcc_largestfrac_le_0p8,159,159,0.5881482404067921,0.6969490438199094,0.2683327121461964,0.4611624145325749,0.5348593932681066,0.2393355196891629,0.5973459256490028,0.6768783542039356,0.2976316129884259,0.6695824337849646,0.7669275866512048,0.2940343440539762,29.85155594266988,14.365752796735617,40.043691592111294,27.846511393517343,11.200298614802886,43.306310802881,1.745727959728217,1.149487643158529,2.568882251420312,64.1006289308176,33.0,83.65890624756369,0.9538682491437546,0.9838330800055272,0.0583433364559453,0.5456198179480838,0.629880560733033,lcc
dev,v2_cond_lcc_largestfrac_le_0p9,159,159,0.5951945102154462,0.7101172085724093,0.2737058500752918,0.4702676631131918,0.5505284769219071,0.2439059923031608,0.6126392138446479,0.7083292609027113,0.3037714879475198,0.6625921943791437,0.7641260478112387,0.2983750649498844,29.048775314561688,13.358154296875,39.656085050977424,27.846511393517343,11.200298614802886,43.306310802881,1.6641250271320165,1.129671903674858,2.2910617952025185,43.35849056603774,1.0,74.82809692118616,0.9827979395243268,1.0,0.0273656127762837,0.5518897366887028,0.637191729524076,lcc
