feature,r2_explained_by_other_predictors,vif,n_complete
v2_raw_n_components,0.9923864436769887,131.34466438208224,526
v2_raw_pred_to_gt_vol_ratio,0.9922839567726226,129.6001033861353,526
v1_raw_n_components,0.9917372018766866,121.02437758687418,526
v1_raw_pred_to_gt_vol_ratio,0.9831272332775401,59.26710280827089,526
v2_raw_pred_vol_cm3,0.9821180480874092,55.922306741910774,526
v2_lcc_pred_vol_cm3,0.9793153218792003,48.34496307653157,526
v2_lcc_pred_to_gt_vol_ratio,0.9581467340827021,23.89299802734634,526
late_dev_s,0.7917373523002657,4.801629149754037,526
v2_raw_second_largest_component_fraction,0.7904554511653503,4.772254900265117,526
v2_raw_largest_component_fraction,0.7867323562869981,4.688943820027936,526
early_dev_s,0.7479492932777858,3.9674556481291794,526
log_gt_vol_cm3,0.6733148755822114,3.061051530222501,526
gt_vol_cm3,0.66060813365683,2.9464465686071217,526
n_phases,0.4115787886811033,1.6994628690535885,526
