target,feature,spearman_rho,p_value,n,abs_rho,q_value_bh
v2_lcc_dice,v2_raw_largest_component_fraction,0.40898328683073504,1.2554863987034618e-22,526,0.40898328683073504,4.551138195300049e-21
v2_lcc_dice,v1_raw_largest_component_fraction,0.3859852681832399,3.9309869187048487e-20,526,0.3859852681832399,1.139986206424406e-18
v2_lcc_dice,v2_raw_n_components,-0.36312873607735685,7.707696295548467e-18,526,0.36312873607735685,1.8626932714242127e-16
v2_lcc_dice,v1_raw_n_components,-0.35727210422896244,2.7889723719261254e-17,526,0.35727210422896244,5.777157056132688e-16
v2_lcc_dice,v2_raw_pred_to_gt_vol_ratio,-0.3403146644210633,9.965958563236284e-16,526,0.3403146644210633,1.6056266574102902e-14
v2_lcc_dice,v1_raw_pred_to_gt_vol_ratio,-0.3390546313641736,1.2888093343978465e-15,526,0.3390546313641736,1.8687735348768774e-14
v2_lcc_dice,v2_raw_second_largest_component_fraction,-0.3340334091287523,3.5493695432872106e-15,526,0.3340334091287523,4.669702469409139e-14
v2_lcc_dice,v2_lcc_pred_to_gt_vol_ratio,-0.28717461376453185,1.913279540435434e-11,526,0.28717461376453185,1.2061979711440781e-10
v2_lcc_dice,v2_raw_pred_vol_cm3,-0.15507956558654953,0.00035717247110533893,526,0.15507956558654953,0.0010569389451076357
v2_lcc_dice,gt_vol_cm3,0.13995355370970103,0.0012908492091366125,526,0.13995355370970103,0.0035315685910341284
v2_lcc_dice,log_gt_vol_cm3,0.13995355370970103,0.0012908492091366125,526,0.13995355370970103,0.0035315685910341284
v2_lcc_dice,v2_lcc_pred_vol_cm3,-0.06727077075314697,0.12333876615028924,526,0.06727077075314697,0.20322864877036295
v2_lcc_dice,kin_ring_auc_enh,-0.0606866651825569,0.16458966752850368,526,0.0606866651825569,0.2594076281699243
v2_lcc_dice,kin_tumor_to_fg_max_enh_diff,-0.057327540422007925,0.1892701659714985,526,0.057327540422007925,0.28888604279860297
v2_lcc_dice,kin_tumor_to_ring_max_enh_diff,-0.05432151228320746,0.21357258030960757,526,0.05432151228320746,0.3192579808751866
v2_lcc_dice,kin_gt_max_enh,-0.05082985242492547,0.24452700991379758,526,0.05082985242492547,0.3545641643750065
v2_lcc_dice,kin_gt_washout_index,0.047893253250715,0.2728893263279839,526,0.047893253250715,0.38047069536113143
v2_lcc_dice,kin_ring_auc_enh_norm,-0.04394463345359938,0.31444211231238267,526,0.04394463345359938,0.4261131428532289
v2_lcc_dice,kin_gt_auc_enh,-0.03858303135970119,0.3771749305966422,526,0.03858303135970119,0.4927059904190371
v2_lcc_dice,kin_ring_max_enh,-0.03557171833226837,0.4155629581146434,526,0.03557171833226837,0.5332445037754274
v2_lcc_dice,kin_fg_auc_enh,-0.03192456714125663,0.46500859571431885,526,0.03192456714125663,0.5863151859006629
v2_lcc_dice,n_phases,0.027407051494406042,0.5305316441340784,526,0.027407051494406042,0.6474807339674528
v2_lcc_dice,kin_gt_late_slope,0.027197328259727864,0.6486854406717746,283,0.027197328259727864,0.7336322600046663
v2_lcc_dice,late_dev_s,-0.02647900545925519,0.5445484368700402,526,0.02647900545925519,0.6474807339674528
v2_lcc_dice,early_dev_s,-0.026278615645320108,0.5475989450917405,526,0.026278615645320108,0.6474807339674528
v2_lcc_dice,kin_gt_auc_enh_norm,-0.02617089237194639,0.5492422777792875,526,0.02617089237194639,0.6474807339674528
v2_lcc_dice,kin_tumor_to_ring_auc_norm_diff,-0.0121736996764127,0.7805931634860079,526,0.0121736996764127,0.8446717067572475
v2_lcc_dice,kin_fg_auc_enh_norm,0.005877580634823247,0.8930222687940245,526,0.005877580634823247,0.9383204998198084
v2_lcc_dice,kin_fg_max_enh,0.001496407958609806,0.972687345379547,526,0.001496407958609806,0.9794421186113494
v2_lcc_dice_gap_to_volume_bound,v2_raw_largest_component_fraction,-0.2293033548510782,1.0520086841427425e-07,526,0.2293033548510782,5.084708640023255e-07
v2_lcc_dice_gap_to_volume_bound,v1_raw_largest_component_fraction,-0.22045641806336172,3.2725134650366494e-07,526,0.22045641806336172,1.437922583122164e-06
v2_lcc_dice_gap_to_volume_bound,v2_raw_second_largest_component_fraction,0.21427744800851775,7.033887967872051e-07,526,0.21427744800851775,2.9997463392395514e-06
v2_lcc_dice_gap_to_volume_bound,v2_raw_n_components,0.16170882936578243,0.00019573427094425795,526,0.16170882936578243,0.0006306993174870534
v2_lcc_dice_gap_to_volume_bound,v2_raw_pred_to_gt_vol_ratio,0.15930724061978527,0.00024405075849217062,526,0.15930724061978527,0.0007692904343774943
v2_lcc_dice_gap_to_volume_bound,v1_raw_n_components,0.1569928250911973,0.00030098262823652903,526,0.1569928250911973,0.0009285634275382278
v2_lcc_dice_gap_to_volume_bound,v1_raw_pred_to_gt_vol_ratio,0.15001792401003083,0.0005564818631458811,526,0.15001792401003083,0.001613797403123055
v2_lcc_dice_gap_to_volume_bound,kin_gt_max_enh,0.112624171955057,0.009735507695769429,526,0.112624171955057,0.02240712088708837
v2_lcc_dice_gap_to_volume_bound,kin_gt_auc_enh_norm,0.10139885612039491,0.020017664230342992,526,0.10139885612039491,0.04397820171817778
v2_lcc_dice_gap_to_volume_bound,kin_tumor_to_fg_max_enh_diff,0.09804048002127382,0.02453807573310005,526,0.09804048002127382,0.0515655214681088
v2_lcc_dice_gap_to_volume_bound,kin_gt_late_slope,-0.09596387436717137,0.10719344427639281,283,0.09596387436717137,0.18285940494208186
v2_lcc_dice_gap_to_volume_bound,kin_ring_auc_enh_norm,0.09340468580416345,0.03220995731269912,526,0.09340468580416345,0.0667206258620196
v2_lcc_dice_gap_to_volume_bound,kin_tumor_to_ring_max_enh_diff,0.09082857575754452,0.037299059788481574,526,0.09082857575754452,0.0751161620740254
v2_lcc_dice_gap_to_volume_bound,v2_raw_pred_vol_cm3,0.087310151338838,0.04533951351974105,526,0.087310151338838,0.08884093865354666
