feature_a,feature_b,spearman_rho,abs_rho,n
kin_ring_first_post_s,kin_fg_first_post_s,0.9999999999999998,0.9999999999999998,526
kin_gt_first_post_s,kin_ring_first_post_s,0.9999999999999998,0.9999999999999998,526
kin_first_post_s,kin_ring_first_post_s,0.9999999999999998,0.9999999999999998,526
kin_gt_first_post_s,kin_fg_first_post_s,0.9999999999999998,0.9999999999999998,526
kin_first_post_s,kin_fg_first_post_s,0.9999999999999998,0.9999999999999998,526
kin_first_post_s,kin_gt_first_post_s,0.9999999999999998,0.9999999999999998,526
kin_first_post_s,kin_early_dev_s,0.9999945576561903,0.9999945576561903,526
kin_early_dev_s,kin_ring_first_post_s,0.9999945576561903,0.9999945576561903,526
kin_early_dev_s,kin_fg_first_post_s,0.9999945576561903,0.9999945576561903,526
early_dev_s,kin_gt_first_post_s,0.9999945576561903,0.9999945576561903,526
early_dev_s,kin_fg_first_post_s,0.9999945576561903,0.9999945576561903,526
early_dev_s,kin_first_post_s,0.9999945576561903,0.9999945576561903,526
kin_early_dev_s,kin_gt_first_post_s,0.9999945576561903,0.9999945576561903,526
early_dev_s,kin_ring_first_post_s,0.9999945576561903,0.9999945576561903,526
v1_small50_pred_vol_cm3,v1_small100_pred_vol_cm3,0.9999119363187443,0.9999119363187443,526
v2_small50_pred_vol_cm3,v2_small100_pred_vol_cm3,0.9998840659776728,0.9998840659776728,526
v2_small50_pred_to_gt_vol_ratio,v2_small100_pred_to_gt_vol_ratio,0.9997452914687279,0.9997452914687279,526
v1_small50_pred_to_gt_vol_ratio,v1_small100_pred_to_gt_vol_ratio,0.9997210492193934,0.9997210492193934,526
v1_raw_pred_vol_cm3,v1_small50_pred_vol_cm3,0.9996061871332613,0.9996061871332613,526
v2_raw_pred_vol_cm3,v2_small50_pred_vol_cm3,0.9996048678271751,0.9996048678271751,526
v1_raw_pred_vol_cm3,v1_small100_pred_vol_cm3,0.9993387802809091,0.9993387802809091,526
v2_raw_pred_vol_cm3,v2_small100_pred_vol_cm3,0.9992824624023532,0.9992824624023532,526
v2_raw_pred_to_gt_vol_ratio,v2_small50_pred_to_gt_vol_ratio,0.9987417942768914,0.9987417942768914,526
